,IIB,IIIA,IIIB,IV,VI,VII,VIII,IX,X,XI
MFC,1.3867174231180666,-1.4263261721217446,0.42080038937962094,3.4825148344521484,1.2956472982470046,1.4831325422500974,-0.9514457342075364,-0.23229805033142137,-0.2579826998734916,0.5874210584347046
V1C,0.7858678235790043,-0.2608341869913376,-0.966071846315036,3.157719823621892,4.118680140892669,-0.38665253797903276,-0.07839186325672956,0.021220363122520416,-0.5090666704102826,3.9258739491370354
OFC,-0.0023471709061850515,-0.20065681661214185,3.5466710882405583,2.4414929262850693,1.1156062951046828,0.03135916870344162,-1.118136853469577,-0.23341962833353203,-0.5629444925371511,1.0732870755521657
ITC,2.541218252568884,-0.08817413857102924,2.5107824356488315,2.6494917625264067,-0.12420343235422414,0.1585559475265082,-0.8509798319176202,-1.8755994173294817,-0.899655884033286,1.1169148977959544
STC,2.0663594993187817,1.7079810854706405,1.695988737033417,2.391859105984325,-0.9494860966803789,-0.5684816187349283,-0.5567628838979141,-0.5888438235239483,-0.47866019192086273,1.9913382067785383
VFC,0.5783016357009948,0.9851314958826312,3.6024471944625773,3.603708617205675,0.27287159463431354,1.6386131822953127,-1.1979631315647885,-0.8821650533470085,-0.1254219686859757,2.966475724671587
S1C,0.15960591149248962,0.9418683966465532,-0.4196663644241497,2.718163458420251,-0.521222706313783,-0.12461675723802648,-0.4505748345655134,-1.1537252865924406,-1.171220472786689,0.483506641334996
IPC,0.24303175273433053,1.5429503004924148,1.3662102700805185,2.4948087174867193,2.3010025585854033,-1.0656964983324282,-0.47886229284037585,-1.0273116594109457,2.342059758765873,4.360271724551847
DFC,0.4174181276486735,1.5364655951473083,0.9984153114173439,0.7665982024129804,2.949976815854002,0.4358508460524014,-0.19641248488718838,-0.743179248270542,1.2355021558818866,1.2120257057995572
